Measurement	Well	Group	Time	OCR
6	C03	161 Control	25.71	63.26
6	C04	161 Control	25.71	41.45
6	C05	161 Control	25.71	70.26
6	C06	161 Control	25.71	61.36
6	C07	mev-1 Control	25.71	132.51
6	C08	mev-1 Control	25.71	58.34
6	C09	mev-1 Control	25.71	126.22
6	C10	mev-1 Control	25.71	332.91
6	C11	mev-1 Control	25.71	191.40
6	C12	mev-1 Control	25.71	202.98
6	D01	162 Control	25.71	637.80
6	D02	162 Control	25.71	530.07
6	D03	162 Control	25.71	362.82
6	D04	162 Control	25.71	362.03
6	D05	162 Control	25.71	350.94
6	D06	162 Control	25.71	214.28
6	D07	162 Control	25.71	358.94
6	D08	162 Control	25.71	696.51
6	D09	162 Control	25.71	496.97
6	D10	162 Control	25.71	492.61
6	D11	162 Control	25.71	404.59
6	D12	162 Control	25.71	42.80
6	E01	WT DDT	25.71	121.19
6	E02	WT DDT	25.71	73.55
6	E03	WT DDT	25.71	123.95
6	E04	WT DDT	25.71	42.06
6	E05	WT DDT	25.71	18.95
6	E06	WT DDT	25.71	347.60
6	E07	WT DDT	25.71	390.83
6	E08	WT DDT	25.71	66.23
6	E09	WT DDT	25.71	8.45
6	E10	WT DDT	25.71	29.51
6	E11	WT DDT	25.71	78.02
6	E12	WT DDT	25.71	39.70
6	F01	161 DDT	25.71	44.11
6	F02	161 DDT	25.71	-1.68
6	F03	161 DDT	25.71	32.80
6	F04	161 DDT	25.71	37.14
6	F05	161 DDT	25.71	15.32
6	F06	161 DDT	25.71	19.68
6	F07	mev-1 DDT	25.71	36.23
6	F08	mev-1 DDT	25.71	4.69
6	F09	mev-1 DDT	25.71	0.29
6	F10	mev-1 DDT	25.71	35.18
6	F11	mev-1 DDT	25.71	17.93
6	F12	mev-1 DDT	25.71	15.17
6	G01	162 DDT	25.71	33.35
6	G02	162 DDT	25.71	29.15
6	G03	162 DDT	25.71	24.49
6	G04	162 DDT	25.71	119.12
6	G05	162 DDT	25.71	21.87
6	G06	162 DDT	25.71	13.44
6	G07	162 DDT	25.71	118.38
6	G08	162 DDT	25.71	115.92
6	G09	162 DDT	25.71	46.15
6	G10	162 DDT	25.71	48.39
6	G11	162 DDT	25.71	49.04
6	G12	162 DDT	25.71	28.32
6	H01	Background	25.71	0.00
6	H02	Background	25.71	0.00
6	H03	Background	25.71	0.00
6	H04	Background	25.71	0.00
6	H05	Background	25.71	0.00
6	H06	Background	25.71	0.00
6	H07	Background	25.71	0.00
